Semilla,Trabajos Ingresados,Trabajos Terminados,Trabajos / Día,Espera Media Escaneo (min),Espera Media Diseño (min),Espera Media Fresado (min)
1,597,543,18.1,5.31,0.39,0.06
50,610,538,17.9,6.56,0.66,0.12
100,613,542,18.1,4.52,0.45,0.07
150,641,579,19.3,6.91,0.66,0.13
200,644,577,19.2,6.42,0.65,0.13
250,626,570,19,5.89,0.54,0.13
300,577,521,17.4,5.29,0.44,0.1
350,619,554,18.5,6.73,0.43,0.08
400,603,526,17.5,5.19,0.43,0.05
450,646,565,18.8,6.03,0.67,0.09
