Semilla,Trabajos Ingresados,Trabajos Terminados,Trabajos / Día,Espera Media Escaneo (min),Espera Media Diseño (min),Espera Media Fresado (min)
1,596,502,16.7,0.36,20.49,0
50,624,528,17.6,0.7,24.25,0
100,652,528,17.6,0.41,24.77,0
150,644,536,17.9,0.45,23.38,0
200,623,527,17.6,0.67,23.49,0
250,589,504,16.8,0.28,18.93,0
300,581,488,16.3,0.39,20.51,0
350,631,524,17.5,0.46,26.1,0
400,626,512,17.1,0.48,22.42,0
450,617,505,16.8,0.49,22.56,0
