Semilla,Trabajos Ingresados,Trabajos Terminados,Trabajos / Día,Espera Media Escaneo (min),Espera Media Diseño (min),Espera Media Fresado (min)
1,601,544,18.1,0.38,1.63,0.15
50,655,609,20.3,0.57,2.09,0.15
100,613,551,18.4,0.24,1.08,0.1
150,639,576,19.2,0.43,1.38,0.12
200,633,584,19.5,0.81,2.25,0.21
250,646,571,19,0.48,1.81,0.15
300,630,567,18.9,0.47,1.55,0.19
350,627,568,18.9,0.52,1.42,0.1
400,624,558,18.6,0.52,1.44,0.12
450,605,545,18.2,0.45,1.56,0.17
